epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2360.88,0.82015,0.7694,1.32251,0.97823,1,0.99019,0.82747,0.633,0.70333,1.25924,0.00164105,0.00164105,0.00164105
44,2407.82,0.77422,0.68336,1.32051,0.98007,1,0.98185,0.84022,0.5895,0.65135,1.2007,0.00162494,0.00162494,0.00162494
45,2452.33,0.737,0.7917,1.28559,0.98001,1,0.98704,0.82354,0.69601,0.71397,1.30993,0.00160855,0.00160855,0.00160855
46,2496.87,0.81326,0.82766,1.3194,0.98001,1,0.98704,0.82354,0.69601,0.71397,1.30993,0.00159191,0.00159191,0.00159191
47,2544.73,0.73086,0.68882,1.26991,0.98001,1,0.99222,0.76136,0.87366,0.75882,1.57366,0.00157501,0.00157501,0.00157501
48,2589.17,0.78161,0.71607,1.2466,0.98066,1,0.995,0.71359,1.00838,0.83431,1.76542,0.00155786,0.00155786,0.00155786
49,2633.23,0.75869,0.75106,1.27467,0.97991,1,0.99481,0.79406,0.74663,0.76725,1.38362,0.00154047,0.00154047,0.00154047
50,2678.02,0.75358,0.70918,1.30934,0.98003,1,0.99444,0.78967,0.73738,0.68889,1.36118,0.00152285,0.00152285,0.00152285
51,2955.79,0.75946,0.7306,1.32067,0.98021,1,0.98981,0.78415,0.77235,0.66978,1.42052,0.001505,0.001505,0.001505
52,3086.28,0.7447,0.73673,1.29095,0.98031,1,0.99407,0.80883,0.72676,0.66113,1.36382,0.00148694,0.00148694,0.00148694
53,3114.79,0.71639,0.66541,1.26565,0.98026,1,0.99407,0.84344,0.64699,0.62781,1.25243,0.00146866,0.00146866,0.00146866
54,3142.26,0.81776,0.72056,1.27327,0.98026,1,0.99407,0.84344,0.64699,0.62781,1.25243,0.00145019,0.00145019,0.00145019
55,3172.62,0.74397,0.6564,1.25095,0.98022,1,0.99444,0.88168,0.52856,0.62158,1.12112,0.00143152,0.00143152,0.00143152
56,3199.32,0.69957,0.62429,1.22483,0.98033,1,0.99204,0.86648,0.56183,0.60817,1.14276,0.00141267,0.00141267,0.00141267
57,3227.64,0.71908,0.65311,1.27074,0.98027,1,0.99019,0.83041,0.64733,0.61251,1.25809,0.00139364,0.00139364,0.00139364
58,3254.85,0.72699,0.66007,1.28841,0.98026,1,0.9863,0.72328,0.94283,0.64766,1.66823,0.00137444,0.00137444,0.00137444
